ID,sku,name
1655,HWP9PLUS003,"For Huawei P9 Plus LCD Display Original New Gold"
1654,HWH9002,"For Huawei Honor 9 LCD Display Original New Blue"
1653,HWH9001,"For Huawei Honor 9 LCD Display Original New Gold"
1652,SONM5381,"For Sony Xperia M5  Back Cover White"
1651,SONM508,"For Sony Xperia M5  Back Cover Black"
1650,HWH9036,"For Huawei Honor 9 Audio Flex"
1649,HWH9029,"For Huawei Honor 9 Earpiece"
1648,HWH9028,"For Huawei Honor 9 Speaker"
1647,HWP10LITE024,"For Huawei P10 Lite Earpiece"
1646,HWP10LITE023,"For Huawei P10 Lite Power Flex"
1645,HWP10LITE022,"For Huawei P10 Lite Front Camera"
1644,HWP10LITE021,"For Huawei P10 Lite Back Camera"
1643,SONXZS031,"For Sony Xperia XZ/XZS Home Button Flex Sliver"
1642,SONXZS030,"For Sony Xperia XZ/XZS Sim Holder"
1641,SONXZS028,"For Sony Xperia XZ/XZS Power"
1640,SONXZS026,"For Sony Xperia XZ/XZS Speaker"
1639,SONXZS024,"For Sony Xperia XZ/XZS Charger"
1638,SONXZS023,"For Sony Xperia XZ/XZS Front Camera"
1637,SONXZS021,"For Sony Xperia XZ/XZS Audio Jack Flex"
1636,SONXA1032,"For Sony Xperia XA1 Sim Holder With Plus Black"
1635,SONXA1031,"For Sony Xperia XA1 Sim Holder With Plus Gold"
1634,SONXA1024,"For Sony Xperia XA1 Charger"
1633,SONXZP034,"For Sony Xperia XZ Premium Front Camera"
1632,SONXZP033,"For Sony Xperia XZ Premium Back Camera"
1631,6sp024,"For iPhone 6S Plus Hard Disk NAND Flash Memory IC 16GB"
1630,6S022,"For iPhone 6S Hard Disk NAND Flash Memory IC 16GB"
1629,6P021,"For iPhone 6 Plus Hard Disk NAND Flash Memory IC 16GB"
1628,6G021,"For iPhone 6 Hard Disk NAND Flash Memory IC 16GB"
1627,7P022,"For iPhone 7 Plus LCD Connectors Protector Plate"
1626,7P021,"For iPhone 7 Plus Display Back Metal plate"
1625,7G022,"For iPhone 7 Plus LCD Connectors Protector Plate"
1624,7G021,"For iPhone 7 Display Back Metal plate"
1623,6SP023,"For iPhone 6S Plus LCD Connectors Protector Plate"
1622,6SP022,"For iPhone 6S Plus Display Back Metal plate"
1621,6S021,"For iPhone 6S LCD Connectors Protector Plate"
1620,TOOL1071,"3.5X-90X Simul-Focal Boom Stereo Microscope + 2 20X "
1619,TOOL1070,"UYUE 968 LCD Screen Repair Separator Machine "
1618,4897058386608,"For iPhone 8 3D 0.2mm Tempered Glass Screen Protector Black"
1617,AP120,"For iPad Air 2 LCD Display Original New White"
1616,AP108,"For iPad Air 2 LCD Display Original New Black"
1615,t605024,"For iPhone 5/5S/5C PU Leather Case White"
1614,AP203,"For iPad Air Touch  Complete Original White"
1613,6G60,"For iPhone 6 Housing Complete Silver"
1612,6G59,"For iPhone 6 Housing Complete Gold"
1611,4897058386592,"For Samsung Galaxy Grand 2 Tempered Glass Screen Protector"
1610,4897058386585,"For Samsung Galaxy SM-G955F S8 Plus 3D Tempered Glass Screen Protector Black"
1609,4897058386578,"For Samsung Galaxy SM-G950F S8 3D Tempered Glass Screen Protector Black"
1608,SAMG935F281,"For Samsung  Galaxy SM-G935F S7 Edge  Back Cover Black without camera cover"
1607,HWP9PLUS002,"For Huawei P9 Plus LCD Display Original New White"
1606,HWP10002,"For Huawei P10 LCD LCD Display Original New White"
1605,HWP10001,"For Huawei P10 LCD LCD Display Original New Black"
1604,HWM9004,"For Huawei Mate 9 LCD Display Original New Mocha Gold"
1603,HWM9003,"For Huawei Mate 9 LCD Display Original New Gold"
1602,HWM9002,"For Huawei Mate 9 LCD Display Original New White"
1601,HWP10PLUS002,"For Huawei P10 Plus LCD Display Original New White"
1598,SONL1082,"For Sony Xperia L1 Back Cover White"
1597,SONL1081,"For Sony Xperia L1 Back Cover Black"
1596,SONXA1083,"For Sony Xperia XA1 Back Cover Pink"
1595,SONXA1082,"For Sony Xperia XA1 Back Cover Gold"
1594,SONXA1081,"For Sony Xperia XA1 Back Cover Black"
1593,SONXA1021,"For Sony Xperia XA1 Audio Jack Flex "
1592,HWH9025,"For Huawei Honor 9 Fingerprint Sensor Grey"
1591,HWH9024,"For Huawei Honor 9 Fingerprint Sensor Blue"
1590,HWH9023,"For Huawei Honor 9 Fingerprint Sensor Gold"
1589,HWH9022,"For Huawei Honor 9 Power Flex"
1588,HWH9021,"For Huawei Honor 9 Back Camera"
