ID,sku,name,price
1655,HWP9PLUS003,For Huawei P9 Plus LCD Display Original New Gold,680
1654,HWH9002,For Huawei Honor 9 LCD Display Original New Blue,300
1653,HWH9001,For Huawei Honor 9 LCD Display Original New Gold,300
1652,SONM5381,For Sony Xperia M5 Back Cover White,3
1651,SONM508,For Sony Xperia M5 Back Cover Black,3
1650,HWH9036,For Huawei Honor 9 Audio Flex,6
1649,HWH9029,For Huawei Honor 9 Earpiece,2
1648,HWH9028,For Huawei Honor 9 Speaker,12
1647,HWP10LITE024,For Huawei P10 Lite Earpiece,2
1646,HWP10LITE023,For Huawei P10 Lite Power Flex,6
1645,HWP10LITE022,For Huawei P10 Lite Front Camera,12
1644,HWP10LITE021,For Huawei P10 Lite Back Camera,23
1643,SONXZS031,For Sony Xperia XZ/XZS Home Button Flex Sliver,4
1642,SONXZS030,For Sony Xperia XZ/XZS Sim Holder,2
1641,SONXZS028,For Sony Xperia XZ/XZS Power,23
1640,SONXZS026,For Sony Xperia XZ/XZS Speaker,10
1639,SONXZS024,For Sony Xperia XZ/XZS Charger,23
1638,SONXZS023,For Sony Xperia XZ/XZS Front Camera,15
1637,SONXZS021,For Sony Xperia XZ/XZS Audio Jack Flex,15
1636,SONXA1032,For Sony Xperia XA1 Sim Holder With Plus Black,20
1635,SONXA1031,For Sony Xperia XA1 Sim Holder With Plus Gold,20
1634,SONXA1024,For Sony Xperia XA1 Charger,42
1633,SONXZP034,For Sony Xperia XZ Premium Front Camera,15
1632,SONXZP033,For Sony Xperia XZ Premium Back Camera,70
1631,6sp024,For iPhone 6S Plus Hard Disk NAND Flash Memory IC 16GB,20
1630,6S022,For iPhone 6S Hard Disk NAND Flash Memory IC 16GB,20
1629,6P021,For iPhone 6 Plus Hard Disk NAND Flash Memory IC 16GB,20
1628,6G021,For iPhone 6 Hard Disk NAND Flash Memory IC 16GB,20
1627,7P022,For iPhone 7 Plus LCD Connectors Protector Plate,0.7
1626,7P021,For iPhone 7 Plus Display Back Metal plate,7
1625,7G022,For iPhone 7 Plus LCD Connectors Protector Plate,0.7
1624,7G021,For iPhone 7 Display Back Metal plate,5
